Site Name,City,Country,State,Street Address,Address,Latitude,Longitude,Coordinates,Zip Code,NPL Status,HRS Score
WHITEHOUSE OIL PITS,WHITEHOUSE,U.S.A,FL,ONE HALF MILE N OF HWY 90,"ONE HALF MILE N OF HWY 90, WHITEHOUSE, FL, U.S.A, 32220",30.3153019,-81.8448299,"30.3153019, -81.8448299",32220,Deleted NPL,
WHITING FIELD NAVAL AIR STATION,MILTON,U.S.A,FL,7550 USS Essex St,"7550 USS Essex St, MILTON, FL, U.S.A, 32570",30.7102873,-87.0197292,"30.7102873, -87.0197292",32570,Final NPL,50
"WILSON CONCEPTS OF FLORIDA, INC.",POMPANO BEACH,U.S.A,FL,1408 SW 8TH STREET,"1408 SW 8TH STREET, POMPANO BEACH, FL, U.S.A, 33069",26.2185416,-80.1434689,"26.2185416, -80.1434689",33069,Deleted NPL,
WINGATE ROAD MUNICIPAL INCINERATOR DUMP,FORT LAUDERDALE,U.S.A,FL,1300 N. W. 31ST AVENUE,"1300 N. W. 31ST AVENUE, FORT LAUDERDALE, FL, U.S.A, 33311",26.1416271,-80.1866221,"26.1416271, -80.1866221",33311,Final NPL,31.72
WOODBURY CHEMICAL CO. (PRINCETON PLANT),PRINCETON,U.S.A,FL,13920 SW 248TH ST,"13920 SW 248TH ST, PRINCETON, FL, U.S.A, 33032",25.5364252,-80.4173586,"25.5364252, -80.4173586",33032,Deleted NPL,
YELLOW WATER ROAD,BALDWIN,U.S.A,FL,1190 YELLOW WATER ROAD,"1190 YELLOW WATER ROAD, BALDWIN, FL, U.S.A, 32234",30.2811417,-81.9684608,"30.2811417, -81.9684608",32234,Deleted NPL,
ZELLWOOD GROUND WATER CONTAMINATION,ZELLWOOD,U.S.A,FL,803 JONES AVE,"803 JONES AVE, ZELLWOOD, FL, U.S.A, 32757",28.7308501,-81.6106135,"28.7308501, -81.6106135",32757,Final NPL,51.91
ALTERNATE ENERGY RESOURCES INC,AUGUSTA,U.S.A,GA,2736 WALDEN DR,"2736 WALDEN DR, AUGUSTA, GA, U.S.A, 30904",33.4546545,-82.0366909,"33.4546545, -82.0366909",30904,Final NPL,50
ARMSTRONG WORLD INDUSTRIES,MACON,U.S.A,GA,4520 BROADWAY ROAD,"4520 BROADWAY ROAD, MACON, GA, U.S.A, 31206",32.7761338,-83.6521323,"32.7761338, -83.6521323",31206,Final NPL,50
BRUNSWICK WOOD PRESERVING,BRUNSWICK,U.S.A,GA,PERRY LANE ROAD,"PERRY LANE ROAD, BRUNSWICK, GA, U.S.A, 31520",31.2469532,-81.5233397,"31.2469532, -81.5233397",31520,Final NPL,54.49
CAMILLA WOOD PRESERVING COMPANY,CAMILLA,U.S.A,GA,131 EAST BENNETT STREET,"131 EAST BENNETT STREET, CAMILLA, GA, U.S.A, 31730",31.2231488,-84.2038226,"31.2231488, -84.2038226",31730,Final NPL,50
"CEDARTOWN INDUSTRIES, INC.",CEDARTOWN,U.S.A,GA,404 S. FURNACE STREET,"404 S. FURNACE STREET, CEDARTOWN, GA, U.S.A, 30125",34.008109,-85.263594,"34.008109, -85.263594",30125,Deleted NPL,
CEDARTOWN MUNICIPAL LANDFILL,CEDARTOWN,U.S.A,GA,WEST OF N. TENTH ST AND GIRARD AVE,"WEST OF N. TENTH ST AND GIRARD AVE, CEDARTOWN, GA, U.S.A, 30125",34.0192413,-85.2673056,"34.0192413, -85.2673056",30125,Deleted NPL,
DIAMOND SHAMROCK CORP. LANDFILL,CEDARTOWN,U.S.A,GA,W. GIRARD AVENUE,"W. GIRARD AVENUE, CEDARTOWN, GA, U.S.A, 30125",34.0192413,-85.2673056,"34.0192413, -85.2673056",30125,Final NPL,35.6
FIRESTONE TIRE & RUBBER CO. (ALBANY PLANT),ALBANY,U.S.A,GA,3300 SYLVESTER RD,"3300 SYLVESTER RD, ALBANY, GA, U.S.A, 31701",31.566634,-84.0557264,"31.566634, -84.0557264",31701,Final NPL,30.08
HERCULES 009 LANDFILL,BRUNSWICK,U.S.A,GA,BENEDICT RD & ROUTE 25,"BENEDICT RD & ROUTE 25, BRUNSWICK, GA, U.S.A, 31521",31.2035447,-81.4967627,"31.2035447, -81.4967627",31521,Final NPL,52.58
LCP CHEMICALS GEORGIA,BRUNSWICK,U.S.A,GA,4014 ROSS RD,"4014 ROSS RD, BRUNSWICK, GA, U.S.A, 31520",31.1838219,-81.5050607,"31.1838219, -81.5050607",31520,Final NPL,
"LUMINOUS PROCESSES, INC.",ATHENS,U.S.A,GA,US HWY 78 & 29 4 MILES W,"US HWY 78 & 29 4 MILES W, ATHENS, GA, U.S.A, 30622",33.8771287,-83.594885,"33.8771287, -83.594885",30622,Deleted NPL,
MACON NAVAL ORDNANCE PLANT,MACON,U.S.A,GA,600 GUY PAINE ROAD,"600 GUY PAINE ROAD, MACON, GA, U.S.A, 31206",32.7780304,-83.6462312,"32.7780304, -83.6462312",31206,Final NPL,48.97
MARINE CORPS LOGISTICS BASE,ALBANY,U.S.A,GA,FLEMING ROAD,"FLEMING ROAD, ALBANY, GA, U.S.A, 31704",31.5436942,-84.0480251,"31.5436942, -84.0480251",31704,Final NPL,
MARZONE INC./CHEVRON CHEMICAL CO.,TIFTON,U.S.A,GA,GOLDEN ROAD,"GOLDEN ROAD, TIFTON, GA, U.S.A, 31794",31.4318498,-83.5158489,"31.4318498, -83.5158489",31794,Final NPL,30.26
MATHIS BROTHERS LANDFILL (SOUTH MARBLE TOP ROAD),KENSINGTON,U.S.A,GA,S MARBLE TOP RD,"S MARBLE TOP RD, KENSINGTON, GA, U.S.A, 30728",34.7990182,-85.3829978,"34.7990182, -85.3829978",30728,Final NPL,30.78
MONSANTO CORP. (AUGUSTA PLANT),AUGUSTA,U.S.A,GA,1610 MARVIN GRIFFIN RD,"1610 MARVIN GRIFFIN RD, AUGUSTA, GA, U.S.A, 30906",33.3942378,-81.992517,"33.3942378, -81.992517",30906,Deleted NPL,
PEACH ORCHARD RD PCE GROUNDWATER PLUME SITE,AUGUSTA,U.S.A,GA,INTERSECTION OF PEACH ORCHARD ROAD & LUMPKIN ROAD,"INTERSECTION OF PEACH ORCHARD ROAD & LUMPKIN ROAD, AUGUSTA, GA, U.S.A, 30906",33.4187601,-82.0225814,"33.4187601, -82.0225814",30906,Final NPL,50
POWERSVILLE SITE,BYRON,U.S.A,GA,GA HWY 49 N,"GA HWY 49 N, BYRON, GA, U.S.A, 31008",32.6478597,-83.7604223,"32.6478597, -83.7604223",31008,Deleted NPL,
ROBINS AIR FORCE BASE (LANDFILL #4/SLUDGE LAGOON),HOUSTON COUNTY,U.S.A,GA,ROBINS AFB,"ROBINS AFB, HOUSTON COUNTY, GA, U.S.A, 31098",32.6400014,-83.591719,"32.6400014, -83.591719",31098,Final NPL,51.66
T.H. AGRICULTURE & NUTRITION CO. (ALBANY PLANT),ALBANY,U.S.A,GA,1401 SCHLEY AVE,"1401 SCHLEY AVE, ALBANY, GA, U.S.A, 31707",31.6175813,-84.1811419,"31.6175813, -84.1811419",31707,Final NPL,40.93
TERRY CREEK DREDGE SPOIL AREAS/HERCULES OUTFALL,BRUNSWICK,U.S.A,GA,ROUTE 17,"ROUTE 17, BRUNSWICK, GA, U.S.A, 31520",31.1707978,-81.4746105,"31.1707978, -81.4746105",31520,Proposed NPL,50.18
WESTSIDE LEAD,ATLANTA,U.S.A,GA,431 VINE STREET NW,"431 VINE STREET NW, ATLANTA, GA, U.S.A, 30318",33.7663861,-84.4076741,"33.7663861, -84.4076741",30318,Final NPL,50
"WOOLFOLK CHEMICAL WORKS, INC.",FORT VALLEY,U.S.A,GA,E MAIN ST P O BOX 938,"E MAIN ST P O BOX 938, FORT VALLEY, GA, U.S.A, 31030",32.5483579,-83.9108968,"32.5483579, -83.9108968",31030,Final NPL,42.24
AIDEX CORP.,MINEOLA,U.S.A,IA,I-29 & HIGHWAY 370,"I-29 & HIGHWAY 370, MINEOLA, IA, U.S.A, 51554",39.1830898,-94.5895358,"39.1830898, -94.5895358",51554,Deleted NPL,
DES MOINES TCE,DES MOINES,U.S.A,IA,SEC 8 & 9 T78N R24W,"SEC 8 & 9 T78N R24W, DES MOINES, IA, U.S.A, 50309",41.5816456,-93.6243133,"41.5816456, -93.6243133",50309,Final NPL,42.28
"E.I. DU PONT DE NEMOURS & CO., INC. (COUNTY ROAD X23)",WEST POINT,U.S.A,IA,FF X23 3.5 MI S OF,"FF X23 3.5 MI S OF, WEST POINT, IA, U.S.A, 52656",40.7167039,-91.4501542,"40.7167039, -91.4501542",52656,Deleted NPL,
"ELECTRO-COATINGS, INC.",CEDAR RAPIDS,U.S.A,IA,911 SHAVER RD NE,"911 SHAVER RD NE, CEDAR RAPIDS, IA, U.S.A, 52402",41.9957746,-91.6696163,"41.9957746, -91.6696163",52402,Deleted NPL,
FAIRFIELD COAL GASIFICATION PLANT,FAIRFIELD,U.S.A,IA,101 S 7TH ST,"101 S 7TH ST, FAIRFIELD, IA, U.S.A, 52556",41.00656,-91.971108,"41.00656, -91.971108",52556,Final NPL,38.05
FARMERS' MUTUAL COOPERATIVE,HOSPERS,U.S.A,IA,HWY 60 & PINE ST,"HWY 60 & PINE ST, HOSPERS, IA, U.S.A, 51238",43.0748556,-95.8980433,"43.0748556, -95.8980433",51238,Deleted NPL,
HIGHWAY 3 PCE,LE MARS,U.S.A,IA,INTERSECTION OF HIGHWAY 3 AND,"INTERSECTION OF HIGHWAY 3 AND, LE MARS, IA, U.S.A, 51031",42.7941567,-96.1655778,"42.7941567, -96.1655778",51031,Final NPL,34.79
IOWA ARMY AMMUNITION PLANT,MIDDLETOWN,U.S.A,IA,HWY 79 OFF MIDDLETOWN RD,"HWY 79 OFF MIDDLETOWN RD, MIDDLETOWN, IA, U.S.A, 52638",40.8271358,-91.2615169,"40.8271358, -91.2615169",52638,Final NPL,29.73
IOWA CITY FMGP,IOWA CITY,U.S.A,IA,505 E BURLINGTON ST,"505 E BURLINGTON ST, IOWA CITY, IA, U.S.A, 52240",41.657183,-91.528207,"41.657183, -91.528207",52240,Not NPL,
JOHN DEERE (OTTUMWA WORKS LANDFILLS),OTTUMWA,U.S.A,IA,VINE & MADISON,"VINE & MADISON, OTTUMWA, IA, U.S.A, 52501",41.0049011,-92.4142321,"41.0049011, -92.4142321",52501,Deleted NPL,
LABOUNTY,CHARLES CITY,U.S.A,IA,910 S GRAND AVE,"910 S GRAND AVE, CHARLES CITY, IA, U.S.A, 50616",43.0590571,-92.6720276,"43.0590571, -92.6720276",50616,Deleted NPL,
LAWRENCE TODTZ FARM,CAMANCHE,U.S.A,IA,RR 1,"RR 1, CAMANCHE, IA, U.S.A, 52730",41.7804813,-90.25364,"41.7804813, -90.25364",52730,Final NPL,52.11
LOT 46 VALLEY GARDENS TCE,DES MOINES,U.S.A,IA,"2500 BLOCK, GARDEN ROAD","2500 BLOCK, GARDEN ROAD, DES MOINES, IA, U.S.A, 50321",41.5664071,-93.6518189,"41.5664071, -93.6518189",50321,Proposed NPL,50
MASON CITY COAL GASIFICATION PLANT,MASON CITY,U.S.A,IA,"5TH ST, BETWEEN DELAWARE & PENNSYLVANIA","5TH ST, BETWEEN DELAWARE & PENNSYLVANIA, MASON CITY, IA, U.S.A, 50401",43.1607101,-93.1994937,"43.1607101, -93.1994937",50401,Final NPL,69.33
MID-AMERICA TANNING CO.,SERGEANT BLUFF,U.S.A,IA,PORT NEAL ROAD,"PORT NEAL ROAD, SERGEANT BLUFF, IA, U.S.A, 51054",42.3908104,-96.3553714,"42.3908104, -96.3553714",51054,Deleted NPL,
MIDWEST MANUFACTURING/NORTH FARM,KELLOGG,U.S.A,IA,101 HIGH ST,"101 HIGH ST, KELLOGG, IA, U.S.A, 50135",41.7142296,-92.9089356,"41.7142296, -92.9089356",50135,Final NPL,
NORTHWESTERN STATES PORTLAND CEMENT CO.,MASON CITY,U.S.A,IA,SEC 33 T97N R20W,"SEC 33 T97N R20W, MASON CITY, IA, U.S.A, 50401",43.1535728,-93.2010367,"43.1535728, -93.2010367",50401,Deleted NPL,
PCE FORMER DRY CLEANER,ATLANTIC,U.S.A,IA,1205 East 7th Street,"1205 East 7th Street, ATLANTIC, IA, U.S.A, 50022",41.4036662,-94.9959312,"41.4036662, -94.9959312",50022,Final NPL,50
PEOPLES NATURAL GAS CO.,DUBUQUE,U.S.A,IA,502 E 11TH ST,"502 E 11TH ST, DUBUQUE, IA, U.S.A, 52001",42.50506,-90.6624714,"42.50506, -90.6624714",52001,Final NPL,46.24
RAILROAD AVENUE GROUNDWATER CONTAMINATION,WEST DES MOINES,U.S.A,IA,12TH & MAPLE,"12TH & MAPLE, WEST DES MOINES, IA, U.S.A, 50265",41.5711408,-93.7193315,"41.5711408, -93.7193315",50265,Final NPL,50
RED OAK CITY LANDFILL,RED OAK,U.S.A,IA,US 34 HWY 48 1 MI W ON HWY 34,"US 34 HWY 48 1 MI W ON HWY 34, RED OAK, IA, U.S.A, 51566",41.0170937,-95.2214477,"41.0170937, -95.2214477",51566,Deleted NPL,
SHAW AVENUE DUMP,CHARLES CITY,U.S.A,IA,SHAW AVE,"SHAW AVE, CHARLES CITY, IA, U.S.A, 50616",43.0558489,-92.6616793,"43.0558489, -92.6616793",50616,Final NPL,
SHELLER-GLOBE CORP. DISPOSAL,KEOKUK,U.S.A,IA,AIRPORT RD (34OTH ST) AND 260TH AVENUE,"AIRPORT RD (34OTH ST) AND 260TH AVENUE, KEOKUK, IA, U.S.A, 52632",40.4649298,-91.4155224,"40.4649298, -91.4155224",52632,Deleted NPL,
VOGEL PAINT & WAX CO.,MAURICE,U.S.A,IA,GRANT AVENUE BETWEEN 490TH ST.,"GRANT AVENUE BETWEEN 490TH ST., MAURICE, IA, U.S.A, 51036",42.9388713,-95.9874677,"42.9388713, -95.9874677",51036,Final NPL,31.45
WATERLOO COAL GASIFICATION PLANT,WATERLOO,U.S.A,IA,SYCAMORE & ELM ST,"SYCAMORE & ELM ST, WATERLOO, IA, U.S.A, 50703",42.4923767,-92.3243392,"42.4923767, -92.3243392",50703,Proposed NPL,50
WHITE FARM EQUIPMENT CO. DUMP,CHARLES CITY,U.S.A,IA,S.E. CORNER OF KELLOGG AVENUE AND,"S.E. CORNER OF KELLOGG AVENUE AND, CHARLES CITY, IA, U.S.A, 50616",43.0663612,-92.6724112,"43.0663612, -92.6724112",50616,Deleted NPL,
ARRCOM (DREXLER ENTERPRISES),RATHDRUM,U.S.A,ID,"STATE HIGHWAY 53, 2.8 MI SW OF CY","STATE HIGHWAY 53, 2.8 MI SW OF CY, RATHDRUM, ID, U.S.A, 83858",47.8095003,-116.9021384,"47.8095003, -116.9021384",83858,Deleted NPL,
BALLARD MINE,SODA SPRINGS,U.S.A,ID,"12 MI N OF SODA SPR, FOLLOW HWY 34,","12 MI N OF SODA SPR, FOLLOW HWY 34,, SODA SPRINGS, ID, U.S.A, 83276",42.6649551,-111.599725,"42.6649551, -111.599725",83276,Not NPL,
BLACKBIRD MINE,LEMHI COUNTY,U.S.A,ID,BLACKBIRD MINE,"BLACKBIRD MINE, LEMHI COUNTY, ID, U.S.A, 83469",45.1171411,-114.3409147,"45.1171411, -114.3409147",83469,Proposed NPL,50
BUNKER HILL MINING & METALLURGICAL COMPLEX,SMELTERVILLE,U.S.A,ID,SILVER VLY,"SILVER VLY, SMELTERVILLE, ID, U.S.A, 83837",47.5410575,-116.1905563,"47.5410575, -116.1905563",83837,Final NPL,54.76
EASTERN MICHAUD FLATS CONTAMINATION,POCATELLO,U.S.A,ID,"HWY 30, 3 MI W OF CITY","HWY 30, 3 MI W OF CITY, POCATELLO, ID, U.S.A, 83201",42.8621042,-112.4506191,"42.8621042, -112.4506191",83201,Final NPL,57.8
IDAHO NATIONAL ENGINEERING LABORATORY (USDOE),IDAHO FALLS,U.S.A,ID,AEC TESTING RESERVATION,"AEC TESTING RESERVATION, IDAHO FALLS, ID, U.S.A, 83401",43.4926607,-112.0407584,"43.4926607, -112.0407584",83401,Final NPL,51.91
KERR-MCGEE CHEMICAL CORP. (SODA SPRINGS PLANT),SODA SPRINGS,U.S.A,ID,"HIGHWAY 34, 3 MILES N OF CY","HIGHWAY 34, 3 MILES N OF CY, SODA SPRINGS, ID, U.S.A, 83276",42.6543652,-111.6046687,"42.6543652, -111.6046687",83276,Final NPL,51.91
MONSANTO CHEMICAL CO. (SODA SPRINGS PLANT),SODA SPRINGS,U.S.A,ID,"HWY 34, 2 MI N OF CY","HWY 34, 2 MI N OF CY, SODA SPRINGS, ID, U.S.A, 83276",42.6543652,-111.6046687,"42.6543652, -111.6046687",83276,Final NPL,54.77
MOUNTAIN HOME AIR FORCE BASE,MOUNTAIN HOME,U.S.A,ID,"HWY 67, 10 MI W OF CY","HWY 67, 10 MI W OF CY, MOUNTAIN HOME, ID, U.S.A, 83648",43.126544,-115.7369719,"43.126544, -115.7369719",83648,Final NPL,57.8
PACIFIC HIDE & FUR RECYCLING CO.,POCATELLO,U.S.A,ID,3575 HWY 30 W,"3575 HWY 30 W, POCATELLO, ID, U.S.A, 83201",42.8621042,-112.4506191,"42.8621042, -112.4506191",83201,Deleted NPL,
ST. MARIES CREOSOTE,ST. MARIES,U.S.A,ID,1369 RAILROAD AVENUE,"1369 RAILROAD AVENUE, ST. MARIES, ID, U.S.A, 83861",47.3202912,-116.5729302,"47.3202912, -116.5729302",83861,Proposed NPL,50
STIBNITE/YELLOW PINE MINING AREA,STIBNITE,U.S.A,ID,T18N R9E S3,"T18N R9E S3, STIBNITE, ID, U.S.A, 83677",44.9545758,-115.4199067,"44.9545758, -115.4199067",83677,Proposed NPL,50
UNION PACIFIC RAILROAD CO.,POCATELLO,U.S.A,ID,300 S HARRISON,"300 S HARRISON, POCATELLO, ID, U.S.A, 83201",42.8611553,-112.4476376,"42.8611553, -112.4476376",83201,Deleted NPL,
"A & F MATERIAL RECLAIMING, INC.",GREENUP,U.S.A,IL,WEST CUMBERLAND,"WEST CUMBERLAND, GREENUP, IL, U.S.A, 62428",39.2457612,-88.1695632,"39.2457612, -88.1695632",62428,Deleted NPL,
"ACME SOLVENT RECLAIMING, INC. (MORRISTOWN PLANT)",MORRISTOWN,U.S.A,IL,EAST OF LINDENWOOD RD,"EAST OF LINDENWOOD RD, MORRISTOWN, IL, U.S.A, 61109",42.158693,-89.0541956,"42.158693, -89.0541956",61109,Final NPL,31.98
ACME STEEL COKE PLANT,CHICAGO,U.S.A,IL,11236 SOUTH TORRENCE AVE.,"11236 SOUTH TORRENCE AVE., CHICAGO, IL, U.S.A, 60617-6440",41.691465,-87.5620749,"41.691465, -87.5620749",60617-6440,Proposed NPL,30
ADAMS COUNTY QUINCY LANDFILLS 2&3,QUINCY,U.S.A,IL,2 MILES NORTH OF BURTON TWP 1/2 MI WEST,"2 MILES NORTH OF BURTON TWP 1/2 MI WEST, QUINCY, IL, U.S.A, 62301",39.9356016,-91.4098726,"39.9356016, -91.4098726",62301,Final NPL,34.21
ALCOA PROPERTIES,EAST ST. LOUIS,U.S.A,IL,3000 E. MISSOURI AVENUE,"3000 E. MISSOURI AVENUE, EAST ST. LOUIS, IL, U.S.A, 62205",38.5998471,-90.1289887,"38.5998471, -90.1289887",62205,Not NPL,
AMOCO CHEMICALS (JOLIET LANDFILL),JOLIET,U.S.A,IL,approx. or near 23423 Amoco Rd.,"approx. or near 23423 Amoco Rd., JOLIET, IL, U.S.A, 60410",41.4497029,-88.1726691,"41.4497029, -88.1726691",60410,Final NPL,39.44
ASARCO TAYLOR SPRINGS,TAYLOR SPRINGS,U.S.A,IL,PUBLIC ROAD AND BROADWAY STREET,"PUBLIC ROAD AND BROADWAY STREET, TAYLOR SPRINGS, IL, U.S.A, 62089",39.1308724,-89.4936786,"39.1308724, -89.4936786",62089,Final NPL,30
BAUTSCH-GRAY MINE,GALENA,U.S.A,IL,1000 SOUTH BLACKJACK ROAD,"1000 SOUTH BLACKJACK ROAD, GALENA, IL, U.S.A, 61036",42.358833,-90.4011722,"42.358833, -90.4011722",61036,Final NPL,48.97
BELOIT CORP.,ROCKTON,U.S.A,IL,1165 PRAIRIE HILL RD,"1165 PRAIRIE HILL RD, ROCKTON, IL, U.S.A, 61072",42.4689827,-89.0671946,"42.4689827, -89.0671946",61072,Final NPL,
BELVIDERE MUNICIPAL LANDFILL,BELVIDERE,U.S.A,IL,APPLETON RD,"APPLETON RD, BELVIDERE, IL, U.S.A, 61008",42.2590075,-88.8609711,"42.2590075, -88.8609711",61008,Deleted NPL,
BYRON SALVAGE YARD,BYRON,U.S.A,IL,NW1/4 SEC 13 T24N R10E,"NW1/4 SEC 13 T24N R10E, BYRON, IL, U.S.A, 61010",42.1269692,-89.2556618,"42.1269692, -89.2556618",61010,Final NPL,33.93
CENTRAL ILLINOIS PUBLIC SERVICE CO.,TAYLORVILLE,U.S.A,IL,SOUTH WEBSTER STREET,"SOUTH WEBSTER STREET, TAYLORVILLE, IL, U.S.A, 62568",39.5455259,-89.2974012,"39.5455259, -89.2974012",62568,Final NPL,28.95
CHEMETCO,HARTFORD,U.S.A,IL,3754 CHEMETCO LANE,"3754 CHEMETCO LANE, HARTFORD, IL, U.S.A, 62048",38.7975781,-90.1006361,"38.7975781, -90.1006361",62048,Final NPL,30
CIRCLE SMELTING CORP.,BECKEMEYER,U.S.A,IL,STATE RTE 50,"STATE RTE 50, BECKEMEYER, IL, U.S.A, 62231",38.6056043,-89.4359158,"38.6056043, -89.4359158",62231,Proposed NPL,70.71
CROSS BROTHERS PAIL RECYCLING (PEMBROKE),PEMBROKE TOWNSHIP,U.S.A,IL,ADDRESS UNREPORTED,"ADDRESS UNREPORTED, PEMBROKE TOWNSHIP, IL, U.S.A, 60944",41.0644415,-87.6273177,"41.0644415, -87.6273177",60944,Final NPL,42.04
DEPUE/NEW JERSEY ZINC/MOBIL CHEMICAL CORP.,DEPUE,U.S.A,IL,DEPOT ST & MARQUETTE ST,"DEPOT ST & MARQUETTE ST, DEPUE, IL, U.S.A, 61356",41.3250682,-89.3062711,"41.3250682, -89.3062711",61356,Final NPL,70.71
DUPAGE COUNTY LANDFILL/BLACKWELL FOREST PRESERVE,WARRENVILLE,U.S.A,IL,ROUTE 56,"ROUTE 56, WARRENVILLE, IL, U.S.A, 60555",41.8205748,-88.2038843,"41.8205748, -88.2038843",60555,Deleted NPL,
EAGLE ZINC CO DIV T L DIAMOND,HILLSBORO,U.S.A,IL,218 INDUSTRIAL PARK DRIVE,"218 INDUSTRIAL PARK DRIVE, HILLSBORO, IL, U.S.A, 62049",39.162229,-89.477091,"39.162229, -89.477091",62049,Final NPL,50
ELLSWORTH INDUSTRIAL PARK,DOWNERS GROVE,U.S.A,IL,2100 - 2800 CURTISS STREET,"2100 - 2800 CURTISS STREET, DOWNERS GROVE, IL, U.S.A, 60515",41.792502,-88.052172,"41.792502, -88.052172",60515,Not NPL,
ESTECH GENERAL CHEMICAL COMPANY,CALUMET CITY,U.S.A,IL,150 MARBLE STREET,"150 MARBLE STREET, CALUMET CITY, IL, U.S.A, 60409",41.6290289,-87.5211642,"41.6290289, -87.5211642",60409,Final NPL,30
EVERGREEN MANOR GROUND WATER CONTAMINATION,WINNEBAGO COUNTY,U.S.A,IL,MCCURRY ROAD AND ELEVATOR ROAD,"MCCURRY ROAD AND ELEVATOR ROAD, WINNEBAGO COUNTY, IL, U.S.A, 61073",42.4280451,-88.9789018,"42.4280451, -88.9789018",61073,Removed from NPL,
GALESBURG/KOPPERS CO.,GALESBURG,U.S.A,IL,HWY 41S PO BOX 1191,"HWY 41S PO BOX 1191, GALESBURG, IL, U.S.A, 61401",40.9478158,-90.3712395,"40.9478158, -90.3712395",61401,Final NPL,34.78
H.O.D. LANDFILL,ANTIOCH,U.S.A,IL,55 MCMILLAN ROAD,"55 MCMILLAN ROAD, ANTIOCH, IL, U.S.A, 60002",42.4740077,-88.0875634,"42.4740077, -88.0875634",60002,Final NPL,34.68
HEGELER ZINC,DANVILLE,U.S.A,IL,1 HEGELER LANE,"1 HEGELER LANE, DANVILLE, IL, U.S.A, 61832",40.0759812,-87.6343914,"40.0759812, -87.6343914",61832,Final NPL,50
ILADA ENERGY CO.,EAST CAPE GIRARDEAU,U.S.A,IL,ROUTE 3,"ROUTE 3, EAST CAPE GIRARDEAU, IL, U.S.A, 62957",37.3270559,-89.4204445,"37.3270559, -89.4204445",62957,Deleted NPL,
INDIAN REFINERY-TEXACO LAWRENCEVILLE,LAWRENCEVILLE,U.S.A,IL,SOUTH SEVENTH STREET,"SOUTH SEVENTH STREET, LAWRENCEVILLE, IL, U.S.A, 62439",38.7251915,-87.6895678,"38.7251915, -87.6895678",62439,Final NPL,56.67
"INTERSTATE POLLUTION CONTROL, INC.",ROCKFORD,U.S.A,IL,NW OF MAGNOLIA & PEOPLES AVE,"NW OF MAGNOLIA & PEOPLES AVE, ROCKFORD, IL, U.S.A, 61109",42.2414343,-89.088673,"42.2414343, -89.088673",61109,Final NPL,46.01
JENNISON-WRIGHT CORPORATION,GRANITE CITY,U.S.A,IL,900 WEST 22ND ST,"900 WEST 22ND ST, GRANITE CITY, IL, U.S.A, 62040",38.710412,-90.151813,"38.710412, -90.151813",62040,Final NPL,40.3
JOHNS-MANVILLE CORP.,WAUKEGAN,U.S.A,IL,GREENWOOD AVE,"GREENWOOD AVE, WAUKEGAN, IL, U.S.A, 60085",42.385146,-87.8841769,"42.385146, -87.8841769",60085,Final NPL,38.2
JOLIET ARMY AMMUNITION PLANT (LOAD-ASSEMBLY-PACKING AREA),JOLIET,U.S.A,IL,HWY 53 & ARSENAL AVE,"HWY 53 & ARSENAL AVE, JOLIET, IL, U.S.A, 60434",41.5131531,-88.0821759,"41.5131531, -88.0821759",60434,Final NPL,35.23
JOLIET ARMY AMMUNITION PLANT (MANUFACTURING AREA),JOLIET,U.S.A,IL,6MI S OF ELWOOD OFF RTE 53,"6MI S OF ELWOOD OFF RTE 53, JOLIET, IL, U.S.A, 60434",41.5131531,-88.0821759,"41.5131531, -88.0821759",60434,Final NPL,32.08
KERR-MCGEE (KRESS CREEK/WEST BRANCH OF DUPAGE RIVER),DUPAGE COUNTY,U.S.A,IL,KRESS CREEK JUST EAST OF EJ&E RR TRACKS,"KRESS CREEK JUST EAST OF EJ&E RR TRACKS, DUPAGE COUNTY, IL, U.S.A, 60185",41.8959291,-88.2169027,"41.8959291, -88.2169027",60185,Final NPL,39.05
KERR-MCGEE (REED-KEPPLER PARK),WEST CHICAGO,U.S.A,IL,NEAR JCT OF YALE & NATIONAL,"NEAR JCT OF YALE & NATIONAL, WEST CHICAGO, IL, U.S.A, 60185",41.8928018,-88.2068977,"41.8928018, -88.2068977",60185,Deleted NPL,
KERR-MCGEE (RESIDENTIAL AREAS),WEST CHICAGO,U.S.A,IL,ADJACENT TO PLT AT 258 ANN STREET,"ADJACENT TO PLT AT 258 ANN STREET, WEST CHICAGO, IL, U.S.A, 60185",41.8782413,-88.2086314,"41.8782413, -88.2086314",60185,Final NPL,38.15
KERR-MCGEE (SEWAGE TREATMENT PLANT),WEST CHICAGO,U.S.A,IL,Illinois Route 59,"Illinois Route 59, WEST CHICAGO, IL, U.S.A, 60185",41.8929836,-88.1943952,"41.8929836, -88.1943952",60185,Deleted NPL,
LAKE CALUMET CLUSTER,CHICAGO,U.S.A,IL,122ND STREET AND STONY ISLAND AVENUE,"122ND STREET AND STONY ISLAND AVENUE, CHICAGO, IL, U.S.A, 60633",41.6736552,-87.5753401,"41.6736552, -87.5753401",60633,Final NPL,30
LASALLE ELECTRIC UTILITIES,LA SALLE,U.S.A,IL,ST VINCENT RD,"ST VINCENT RD, LA SALLE, IL, U.S.A, 61301",41.3571869,-89.0964298,"41.3571869, -89.0964298",61301,Final NPL,42.06
